input,passive learning,active learning,constructive learning,interactive learning,other / not applicable (ICAP),ICAP validation,individual activity,individual product,collective activity,collective product,other / not applicable (social level),Social nature validation,orientation,conceptualisation,investigation,conclusion,discussion,other / not applicable (IBL),IBL validation,remember,understand,apply,analyze,evaluate,create,other / not applicable (Bloom),Bloom validation,retrieval,comprenhesion,analysis,knowledge utilization,other / not applicable (Marzano),Marzano validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>The content of this ILS is covered at Form 2 (Grade 10) Kenyan curriculum. </p><p><br></p><p><br></p><p><strong>Observe the following images </strong><br><br></p><p>What is shown in the images?<br>What functions do the objects in the images serve?<br>What makes the objects able to achieve the role they play?</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Observe the following video.</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Click Explore to proceed</p>,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Read the instructions given then click 'got it' to proceed.</p><p>Note: For the purpose of this experiment, mass has been used in place of weight. It is ok since weight of a body is proportional to its mass. Would you need to convert however, take W = mg where g = 10N/kg</p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>Once through, click on Explain to proceed</p>",0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>What happens to the extension when force on the spring increases?</p><p><br><br></p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,75%,25%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>What do you think is the relationship between the applied forces (weight of suspended mass) to the extensions on the spring?</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,0%,TRUE,0%,25%,75%,0%,0%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Is the measure of extension on the spring the same when loading the masses as when offloading?</p>,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,100%,0%,0%,0%,TRUE,0%,0%,100%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Click on Elaborate to continue</p>,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<p>          Materials that are able to regain their original size when force deforming them is withdrawn are said to be elastic.</p><p>The measure of extension on an elastic material is proportional to the force exerted on them.<br>This essentially means that an increase in extending force leads to an increase in size of the material.<br>This however has a limit beyond which the material won’t be able to regain its initial size after the deforming force is withdrawn.<br>The greatest extent within which a deformed material is able to regain its size after deformation is called its elastic limit.<br>The extension of a material within the elastic limit is called elastic deformation while extension beyond the material’s elastic limit is called plastic deformation.<br>In this case then;<br>        The extension on an elastic material is directly proportional to the force applied as long as the elastic limit is not exceeded.<br>This is called the Hooke’s Law.<br>In expression form<br>                       F α  e<br>Introducing a constant k of proportionality,<br>                       F = ke<br>The constant k is called the spring constant of the material being considered.<br>When the force is in N and extension in m, the units of k are N/m.<br>For elastic materials that need to withstand large forces without suffering permanent deformation, their value of k should be large.<br>This ensures small extension when large forces are exerted on them.</p>",100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,TRUE,100%,0%,0%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,100%,0%,0%,0%,0%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Click on Evaluation to continue</p>,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,0%,0%,100%,TRUE,0%,0%,0%,0%,100%,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<p>Attempt the following questions</p>,0%,0%,100%,0%,0%,TRUE,0%,100%,0%,0%,0%,TRUE,0%,0%,0%,0%,0%,100%,TRUE,100%,0%,0%,0%,0%,0%,0%,TRUE,75%,0%,0%,0%,25%,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
